id,status,brand,thumbnail,title,sale_price,short_desc,long_desc,slug
2,PRIVATE,40,https://www.majafarm.mk/media/products/2023/12/20/HERBION.jpg,Хербион сируп исландски лишај,198,"<p>Хербион сирупот од исландски лишај се препорачува за&nbsp;<strong>сува и надразнителна кашлица, засипнатост и болно грло</strong>.</p>","<p><strong>Состав:</strong>&nbsp;Хербион сирупот од исландски лишај содржи: екстракт од исландски лишај. Има природен вкус на лимон.&nbsp;Не содржи шеќер, туку сорбитол од природно потекло.</p>

<p><strong>Употреба:</strong></p>

<ul>
	<li>Возрасни и деца над 16 години: 15 мл&nbsp;од сирупот 4 пати на ден</li>
	<li>Деца на возраст од 10 до 16 години: 10 мл&nbsp;од сирупот 4 пати на ден</li>
	<li>Деца на возраст од 4 до 10 години: 5 мл&nbsp;од сирупот 4 пати на ден</li>
	<li>Деца на возраст од 1 до 4 години: 2.5 мл&nbsp;од сирупот 4 пати на ден</li>
	<li>Деца и бебиња помали од 1 година: не се препорачува</li>
</ul>",herbion-sirup-islandski-lishaj
3,PRIVATE,40,https://www.majafarm.mk/media/products/2023/12/20/Herbion_ivy_syrup_Ivy_leaf_dry_extract_syrup_150_ml_MKD_web.png,Хербион сируп бршлен,198,"<p>Хербион сирупот од бршлен се препорачува како експекторанс при продуктивна кашлица. Наменет е и за најмалите деца над 2 години (2+).</p>

<p>Хербион сирупот од бршлен ја поттикнува бронхијалната секреција и на тој начин го олеснува искашлувањето. Исто така, ги шири бронхиите.</p>

<p><strong>Пакување:</strong>&nbsp;150 мл</p>","<p><strong>Состав:&nbsp;</strong>сув екстракт од лист од бршлен. Хербион сирупот од бршлен има природен вкус на мелем од лимон. Не содржи шеќер, туку сорбитол од природно потекло.</p>

<p><strong>Употреба:</strong></p>

<ul>
	<li>Возрасни и деца над 12 години: 5 мл&nbsp;до 7.5 мл&nbsp;од сирупот 2 пати на ден</li>
	<li>Деца на возраст од 6 до 12 години: 5 мл&nbsp;од сирупот 2 пати на ден</li>
	<li>Деца на возраст од 2 до 5 години: 2.5 мл&nbsp;од сирупот 2 пати на ден</li>
	<li>Деца помали од 2 години: не се препорачува</li>
	<li>Сирупот треба да се зема наутро и напладне.</li>
</ul>",herbion-sirup-brshlen
4,PRIVATE,41,https://www.majafarm.mk/media/products/2023/12/20/mukoplant-tegavec-sirup-100ml.jpg,"DR. THEISS Мукоплант тегавец сируп, 100 мл",228,"<p>Сирупот Мукоплант тегавец, против кашлица е традиционален хербален лек кој формира заштититен филм врз слузницата на устата и грлото и ја ублажува иритацијата и воспалението (демулсент).</p>

<p>Се користи за симптоматски третман на иритации на устата или грлото &nbsp;пидружени со сува кашлица.</p>

<p><strong>Пакување</strong>: 100 мл</p>","<p><strong>Состав</strong>: Активна супстанција е течен екстракт од лист од тегавец. Секој мл од сирупот содржи 64 мг течен екстракт од лист од тегавец (1:1). Средство за екстракција: етанол 20% (м/м).</p>

<p>*Помошни супстанции се сируп од шеќерна репка, шеќер (сируп од инвертен шеќер), мед, калиум сорбат, етерично масло од питомо нане, вода, прочистена.</p>

<p><strong>Употреба:&nbsp;</strong></p>

<p>Адолесценти (12-18 години), возрасни и стари лица 15 мл сируп (1 супена лажица) 3 до 4 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 45-60 мл).</p>

<p><strong>Педијатриска популација</strong>:</p>

<p>Деца помеѓу 5-11 години: 15 мл сируп (1 супена лажица) 2 до 3 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 30-45 мл).</p>

<p>Деца помеѓу 3-4 години: 10 мл сируп (2 чајни лажици) 2 до 3 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 20-30 мл).</p>

<p>Не се препорачува употреба на сирупот кај деца помали од 3 години.&nbsp;</p>

<p><strong>Начин на употреба</strong>: За пиење.</p>

<p>Безбедноста за време на бременост и доење не е докажана.</p>",dr-theiss-mukoplant-tegavec-sirup-100-ml
5,PRIVATE,41,https://www.majafarm.mk/media/products/2023/12/20/mukoplant-tegavec-sirup-250ml.jpg,"Мукоплант тегавец, сируп 250мл",335,"<p>Сирупот Мукоплант тегавец, против кашлица е традиционален хербален лек кој формира заштититен филм врз слузницата на устата и грлото и ја ублажува иритацијата и воспалението (демулсент) Се користи за симптоматаски третман на иритации на устата или грлото пидружени со сува кашлица. Пакување: 250 мл</p>","<p>Состав: активна супстанца е течен екстракт од лист од тегавец. Секој мл од сирупот содржи 64 мг течен екстракт од лист од тегавец (1:1). Средство за екстракција: етанол 20% (м/м). Помошни супстанции се сируп од шеќерна репка, шеќер (сируп од инвертен шеќер), мед, калиум сорбат, етерично масло од питомо нане, вода, прочистена. Употреба: Препорачанa дозa Адолесценти (12-18 години), возрасни и стари лица: 15 мл сируп (1 супена лажица) 3 до 4 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 45-60 мл). Педијатриска популација: Деца помеѓу 5-11 години: 15 мл сируп (1 супена лажица) 2 до 3 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 30-45 мл). Деца помеѓу 3-4 години: 10 мл сируп (2 чајни лажици) 2 до 3 пати на ден во еднакви интервали помеѓу дозите (вкупната дневна доза е 20-30 мл). Не се препорачува употреба на сирупот кај деца помали од 3 години. Начин на употреба: За пиење.</p>",mukoplant-tegavec-sirup-250ml
21,PRIVATE,50,https://www.majafarm.mk/media/products/2024/01/20/1655204918plivit-d-2000-iu-sprej-za-peroralna-upotreba-10ml-.jpg,Plivit D 2000 IU спреј за перорална употреба 10ml,325,"<p>Plivit D 2000 IU спреј за перорална употреба 10ml.</p>

<p>Витаминот Д допринесува за нормална функција на имуниот систем, коските и мускулите.</p>

<p>1 притискување на спрејот содржи 2000 IU D3.</p>

<p>Пред употребата на лекот внимателно прочитајте го упатството!<br />
За ризикот и несаканите дејства советувајте се со лекар или фармацевт.</p>",,plivit-d-2000-iu-sprej-za-peroralna-upotreba-10ml
6,PRIVATE,27,https://www.majafarm.mk/media/products/2023/12/20/1683802847sperginn-forte-kjesichki-12-kjesichki-1.jpg,"SPERGINN Forte ќесички, 12 ќесички",1385,"<p>SPERGINN Forte ќесички, 12 ќесички. Моќна формулација за подобрување на машкото репродуктивно здравје &ndash; Моќна формулација за јакнење на машкото репродуктивно здравје &ndash; Докажано зголемува квалитет, број и подвижност на сперматозоидите &ndash; Придонесува за плодност и одржување на нормално ниво на тестостерон во крвта &ndash; Комплементарен на хормонската терапија &ndash; Ефикасен при третман на еректилна дисфункција &ndash; Заштита на клетките од оксидативен стрес &ndash; Комфорно дозирање, еднаш дневно Активни состојки: 1 кесичка: L-аргинин 2500 mg, таурин 500 mg, витамин Ц (L-аскорбинска киселина) 180 mg, коензим Q10 200 mg, витамин Е (D-алфа-токоферилацетат) 30 mg, цинк (цинк-L-пидолат) 1,5 mg.</p>","<p>Дозирање &ndash; употреба: 1 кесичка на ден, да се раствори во 200 ml вода.</p>",sperginn-forte-kjesichki-12-kjesichki
23,PRIVATE,50,https://www.majafarm.mk/media/products/2024/01/20/1675328301plivit-c-50mg-tableti-za-deca-30-tableti-1-900x900-pad.jpg,"Plivit C 50mg таблети за деца, 30 таблети",68,"<p>Plivit C 50mg таблети, 30 таблети. Опис: Пливит Ц таблети се користат за превенција и лекување на скорбут и при недостаток на витамин Ц во организмот (хиповитаминоза). Состав: Пливит Ц таблети содржат аскорбинска киселина (витамин Ц).</p>",,plivit-c-50mg-tableti-za-deca-30-tableti
7,PRIVATE,42,https://www.majafarm.mk/media/products/2023/12/20/1655045324novalac-prenatal-kapsuli30-kapsuli-1.jpg,"Novalac PRENATAL капсули,30 капсули",890,"<p>Novalac PRENATAL капсули,30 капсули.</p>

<p>Novalac Prenatal капсулите се производ од најновата генерација за жени кои планираат бременост, за бремени жени и доилки. Со само една капсула на ден, ги задоволуваме зголемените дневни потреби за сите клучни хранливи материи кои придонесуваат за здрав развој на доенчето.<br />
<br />
Novalac Prenatal капсулите се карактеризираат со иновативен состав:<br />
<br />
&nbsp;&nbsp; - активен облик на фолна киселина Quatrefolic&reg;, која го намалува ризикот од оштетување на невралната цевка кај доенчето<br />
&nbsp;&nbsp;&nbsp; железо Lipofer&reg;, кое ја намалува иритацијата на желудникот<br />
&nbsp;&nbsp;&nbsp; ДХА, која овозможува правилен развој на мозокот и видот кај доенчето<br />
&nbsp;&nbsp;&nbsp; други важни витамини и минерали<br />
&nbsp;&nbsp;&nbsp; во само 1 капсула на ден<br />
<br />
Novalac Prenatal капсулите не содржат лактоза, глутен или ГМО.<br />
Препорачана употреба и предупредување: Се препорачува да се започне со употреба на Novalac Prenatal капсулите уште при планирањето на бременост (најмалку 3 месеци пред зачнување) и да се продолжи во текот на целата бременост и до крајот на доењето. Доволно е само 1 капсула на ден. Капсулата треба да се проголта цела со чаша вода. Препорачаната дневна доза не смее да се надмине. Додатоците на исхрана не се замена за балансирана исхрана.</p>",,novalac-prenatal-kapsuli30-kapsuli
8,PRIVATE,43,https://www.majafarm.mk/media/products/2023/12/20/1653914173feroglobin-b12-kapsuli-za-vozrasni-30-kapsuli-1-900x900-pad.jpg,"Feroglobin B12 капсули за возрасни, 30 капсули",755,"<p>Feroglobin B12 капсули за возрасни,30 капсули. Пред употребата на лекот внимателно прочитајте го упатството! За ризикот и несаканите дејства советувајте се со лекар или фармацевт.</p>",,feroglobin-b12-kapsuli-za-vozrasni-30-kapsuli
9,PRIVATE,44,https://www.majafarm.mk/media/products/2023/12/21/1654242761neuroforte-tableti-za-vozrasni-1-900x900-pad.jpg,Neuroforte таблети за возрасни,945,"<p>Neuroforte таблети за возрасни,30 таблети. Пред употребата на лекот внимателно прочитајте го упатството! За ризикот и несаканите дејства советувајте се со лекар или фармацевт.</p>",,neuroforte-tableti-za-vozrasni
